timestamp,mom_open_5,mom_high_5,mom_low_5,mom_close_5,mom_open_21,mom_high_21,mom_low_21,mom_close_21,mom_open_63,mom_high_63,mom_low_63,mom_close_63,rvol_open_21,rvol_high_21,rvol_low_21,rvol_close_21,rvol_open_63,rvol_high_63,rvol_low_63,rvol_close_63,pca_1,pca_2,pca_3,pca_4,pca_5,dcc_open_high,dcc_open_low,dcc_open_close,dcc_high_low,dcc_high_close,dcc_low_close,regime_prob
2014-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,0.5503322955658775,0.559997223031068,0.02316040425422161,0.5237911353227438,0.5804634797343331,0.5877159283852708,
2014-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,0.5503322942173903,0.5599972217210049,0.02316040420470623,0.5237911339080678,0.580463478301613,0.5877159270003068,
2014-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,0.546795378901346,0.5740247733784204,-0.00022509178497129154,0.5214553846622243,0.5715188306032215,0.5530862817287616,
2014-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,0.5373107822795916,0.5731036354168865,-0.025561743808486314,0.5198069808949703,0.5668801121096201,0.5367858321871603,
2014-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,0.5238122619911373,0.5624859061054444,-0.05447651489797475,0.5198707796815296,0.563306594430603,0.5309814124107481,
2014-11-14,-0.004854680599455069,0.000992802265711662,-0.006254711409280439,-0.005372662389537403,,,,,,,,,,,,,,,,,3.1048549703996824,1.296180196083614,-2.7385188331183477,-1.2760178289939268,-2.0218980597515768,0.5106201067266145,0.5588825243854948,-0.08224222968572037,0.5184263820998268,0.5602291366342388,0.5176573161356527,
2014-11-17,-0.004373093743757994,-0.0021142971622233053,-0.005269112680011817,-0.0021150863250495866,,,,,,,,,,,,,,,,,3.1337366243416915,1.2869279977450245,-2.6799920803337405,-1.2989336460656091,-2.0129782345929197,0.4760839678185311,0.5759138979495876,-0.044101098354626264,0.46884514434627056,0.5208192904521354,0.5399954746666022,
2014-11-18,-0.0018662524856761786,-0.0013682445072560612,-0.0035070176225028282,-0.004752385132523851,,,,,,,,,,,,,,,,,3.187548312523047,1.267712287927327,-2.5913238127044504,-1.3211053358095481,-2.015280707039203,0.49706529804569627,0.584719676377966,-0.08817013478252934,0.48393848384046706,0.42708278453640924,0.4775525876183863,
2014-11-19,-0.004752385132523851,-0.007482264611691769,-0.006899607123813434,-0.009492951628108565,,,,,,,,,,,,,,,,,2.8237557231983033,1.4014632291371187,-3.250270425901125,-1.1030758538833005,-2.018698666630786,0.4845383782992383,0.5950355264669875,-0.15896141229455674,0.48220030178371354,0.40601032256648706,0.4100983055146134,
2014-11-20,-0.009368627639634891,-0.0062352116212738284,-0.006518764465562682,-0.005255267350147336,,,,,,,,,,,,,,,,,2.847405663924466,1.3924361354833377,-3.1916558321164668,-1.1343411397053267,-2.011098229218591,0.5385769684743557,0.6124461563768556,-0.1300424618565023,0.5094197631401085,0.40476408199941777,0.4166615151086675,
2014-11-21,-0.005380056768166636,0.0019826524462469852,-0.001758352625860965,0.010964475655315331,,,,,,,,,,,,,,,,,3.5420262384751506,1.1374355544929147,-1.9182127179417774,-1.5671179207587445,-1.9944413464797954,0.5356344387952561,0.6066126032653487,-0.12727747579831605,0.5106916676706473,0.4094632663341402,0.4212843170395252,
2014-11-24,0.006490287385979759,0.0019900504080099246,0.010261634283132814,0.0008714597501410792,,,,,,,,,,,,,,,,,3.8465629408785973,1.0306631725770474,-1.4007877207607837,-1.7075995398067125,-1.991447592192737,0.4616991607302438,0.6055116324293279,-0.09533561692058262,0.44659628192327055,0.5798293570271696,0.37740960425807396,
2014-11-25,0.0008713512719109862,0.003106943405283724,0.004756549210795685,0.004627611284960392,,,,,,,,,,,,,,,,,3.7103300508956925,1.0780299161021705,-1.6334458254212094,-1.6437681844768168,-1.9949733648077774,0.34422607784805215,0.6766532507109891,-0.15471100485555647,0.2834130201312181,0.5945224000563845,0.23346124283928235,
