timestamp,symbol,expiry,dte,option_type,strike,bid,ask,mid,delta,target_delta,contractID,last,mark,bid_size,ask_size,volume,open_interest,implied_volatility,gamma,theta,vega,rho,delta_dist,spread
2025-10-03 00:00:00+00:00,AAPL,2025-10-10 00:00:00+00:00,7,C,267.5,0.38,0.4,0.39,0.12073,0.1,AAPL251010C00267500,0.4,0.39,5,126,8427,2460,0.21487,0.02617,-0.11362,0.07178,0.00589,0.02073,0.020000000000000018
2025-10-03 00:00:00+00:00,AAPL,2025-10-10 00:00:00+00:00,7,C,262.5,1.26,1.3,1.28,0.27634,0.25,AAPL251010C00262500,1.28,1.28,5,4,29172,6330,0.19536,0.04791,-0.17463,0.11951,0.01345,0.026339999999999975,0.040000000000000036
2025-10-03 00:00:00+00:00,AAPL,2025-10-10 00:00:00+00:00,7,C,257.5,3.35,3.45,3.4000000000000004,0.54341,0.5,AAPL251010C00257500,3.37,3.4,38,9,27191,6909,0.21487,0.05165,-0.23282,0.1417,0.02623,0.04340999999999995,0.10000000000000009
2025-10-03 00:00:00+00:00,AAPL,2025-10-10 00:00:00+00:00,7,P,247.5,0.41,0.44,0.425,-0.09294,0.1,AAPL251010P00247500,0.43,0.42,107,187,3242,4073,0.23438,0.01986,-0.09676,0.05943,-0.00467,0.007060000000000011,0.030000000000000027
2025-10-03 00:00:00+00:00,AAPL,2025-10-10 00:00:00+00:00,7,P,252.5,1.09,1.12,1.105,-0.23989,0.25,AAPL251010P00252500,1.12,1.1,5,4,11248,5051,0.23438,0.03711,-0.17885,0.11105,-0.0121,0.010110000000000008,0.030000000000000027
2025-10-03 00:00:00+00:00,AAPL,2025-10-10 00:00:00+00:00,7,P,257.5,2.59,2.71,2.65,-0.45659,0.5,AAPL251010P00257500,2.66,2.65,41,10,11360,2596,0.21487,0.05165,-0.20398,0.1417,-0.02311,0.043410000000000004,0.1200000000000001
2025-10-03 00:00:00+00:00,AAPL,2025-10-31 00:00:00+00:00,28,C,285.0,0.75,0.78,0.765,0.09103,0.1,AAPL251031C00285000,0.76,0.77,70,1,92,588,0.2539,0.00903,-0.05561,0.11703,0.01744,0.008970000000000006,0.030000000000000027
2025-10-03 00:00:00+00:00,AAPL,2025-10-31 00:00:00+00:00,28,C,270.0,3.1,3.2,3.1500000000000004,0.28583,0.25,AAPL251031C00270000,3.1,3.15,18,37,1987,6684,0.2539,0.01874,-0.11807,0.24296,0.05418,0.03582999999999997,0.10000000000000009
2025-10-03 00:00:00+00:00,AAPL,2025-10-31 00:00:00+00:00,28,C,260.0,6.9,7.0,6.95,0.48846,0.5,AAPL251031C00260000,6.95,6.95,29,13,1614,5537,0.2539,0.02198,-0.14258,0.28498,0.09155,0.011539999999999995,0.09999999999999964
2025-10-03 00:00:00+00:00,AAPL,2025-10-31 00:00:00+00:00,28,P,235.0,1.24,1.29,1.2650000000000001,-0.10914,0.1,AAPL251031P00235000,1.27,1.27,25,133,326,962,0.29292,0.00893,-0.06661,0.13362,-0.02248,0.009139999999999995,0.050000000000000044
2025-10-03 00:00:00+00:00,AAPL,2025-10-31 00:00:00+00:00,28,P,245.0,2.74,2.82,2.7800000000000002,-0.22271,0.25,AAPL251031P00245000,2.78,2.78,32,49,350,1035,0.27341,0.01526,-0.09731,0.21309,-0.04608,0.02729000000000001,0.07999999999999963
2025-10-03 00:00:00+00:00,AAPL,2025-10-31 00:00:00+00:00,28,P,260.0,8.0,8.15,8.075,-0.51154,0.5,AAPL251031P00260000,8.48,8.07,17,9,654,496,0.2539,0.02198,-0.11354,0.28498,-0.10727,0.011539999999999995,0.15000000000000036
2025-10-03 00:00:00+00:00,AAPL,2025-12-19 00:00:00+00:00,77,C,300.0,1.11,1.14,1.125,0.1027,0.1,AAPL251219C00300000,1.11,1.12,62,71,2165,34866,0.23438,0.00644,-0.0351,0.21206,0.05316,0.002699999999999994,0.029999999999999805
2025-10-03 00:00:00+00:00,AAPL,2025-12-19 00:00:00+00:00,77,C,280.0,3.95,4.05,4.0,0.26584,0.25,AAPL251219C00280000,4.0,4.0,13,8,4661,9840,0.23438,0.01181,-0.06638,0.3888,0.13572,0.01584000000000002,0.09999999999999964
2025-10-03 00:00:00+00:00,AAPL,2025-12-19 00:00:00+00:00,77,C,260.0,11.4,11.5,11.45,0.5251,0.5,AAPL251219C00260000,11.35,11.45,29,1,9253,24841,0.23438,0.01433,-0.08574,0.47185,0.2622,0.02510000000000001,0.09999999999999964
2025-10-03 00:00:00+00:00,AAPL,2025-12-19 00:00:00+00:00,77,P,220.0,1.76,1.8,1.78,-0.09404,0.1,AAPL251219P00220000,1.77,1.78,40,89,289,13584,0.29292,0.00483,-0.03492,0.19881,-0.0546,0.005960000000000007,0.040000000000000036
2025-10-03 00:00:00+00:00,AAPL,2025-12-19 00:00:00+00:00,77,P,240.0,4.55,4.65,4.6,-0.23947,0.25,AAPL251219P00240000,4.65,4.6,26,15,950,7704,0.27341,0.00958,-0.05786,0.36797,-0.14061,0.010530000000000012,0.10000000000000053
2025-10-03 00:00:00+00:00,AAPL,2025-12-19 00:00:00+00:00,77,P,260.0,11.45,11.6,11.524999999999999,-0.47339,0.5,AAPL251219P00260000,11.58,11.52,8,21,215,2318,0.2539,0.01323,-0.06276,0.47173,-0.28271,0.026610000000000023,0.15000000000000036
